layer,ref,mentions,binding,sources,sample,ruling
or/clackamas/_unincorporated,1005.02,14,0,zdo.315.txt,See Subsections 1005.02(E) and (H).,
or,33.920,13,0,33.140.txt 33.100.txt 33.110.txt 33.150.txt 33.120.txt 33.130.txt 33.910.definitions.txt,•                                               The use categories are described in Chapter 33.920.,
or,46,13,0,02.definitions.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 17.06.definitions.txt oar.660-046-0020.txt oar.660-046-0220.txt,"“Middle housing” means duplex, triplex, quadplex, cottage cluster, or townhouse in the R-5 or R-7.2 zone and is subject to OAR Chapter 660, Division 46, Middle ",
or,6409,13,0,4.planning.txt,Section 4.813. Mandatory and Automatic Permit Conditions of Approval for Section 6409(a).,
or/clackamas/wilsonville,6409,13,0,4.planning.txt,Section 4.813. Mandatory and Automatic Permit Conditions of Approval for Section 6409(a).,
or,16.44.020,12,0,16.12.definitions.txt 16.22.residential.txt,"For the purposes of Section 16.44.020, the mounting or installation of antennas and/or auxiliary support equipment on an existing support tower, support structu",
or,39.8860,12,0,39.cfu.txt 39.efu.txt 39.mua-20.txt 39.oci.txt 39.or.txt 39.rural-residential.txt,(5) Compliance with MCC 39.8860 is,
or,55,12,0,14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt,"B. The provisions of Chapter 55 CDC, Design Review, apply to all uses except attached and/or detached single-family dwellings, cottage clusters, townhouses, man",
or,75,12,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt 14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 25.willamette-historic.txt 36.400-420.lot-dimensions.txt 43.sidewall.txt,right-of-way in accordance with TDC 73C and TDC Chapter 75 via permanent access,
or,9.0900,12,0,4.1500.springwater.txt 4.0100.residential.txt 4.1100.downtown.txt 4.1400.pleasant-valley.txt 4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt,such as heat pumps can project into the setbacks per Section 9.0900 Projections.,
or/clackamas/happy-valley,16.44.020,12,0,16.12.definitions.txt 16.22.residential.txt,"For the purposes of Section 16.44.020, the mounting or installation of antennas and/or auxiliary support equipment on an existing support tower, support structu",
or/clackamas/west-linn,55,12,0,14.r-4.5.txt 15.r-3.txt 16.r-2.1.txt 08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt,"B. The provisions of Chapter 55 CDC, Design Review, apply to all uses except attached and/or detached single-family dwellings, cottage clusters, townhouses, man",
or/multnomah/gresham,4.115,12,0,4.1100.downtown.txt,quality project that might not comply with all or some of the standards in Section 4.115              2. The aim is to,
or/multnomah/gresham,9.0900,12,0,4.1500.springwater.txt 4.0100.residential.txt 4.1100.downtown.txt 4.1400.pleasant-valley.txt 4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt,such as heat pumps can project into the setbacks per Section 9.0900 Projections.,
or/multnomah/portland,33.258,12,0,33.100.txt 33.110.txt 33.120.txt 33.130.txt 33.140.txt 33.150.txt,"categories listed as prohibited may be subject to the regulations of Chapter 33.258,",
